countryName,countryArName,state_en_Name,state_Ar_Name,state_code,city_en_Name,city_Ar_Name,city_code
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Khafji,الخفجي,SA-EA-29
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Jubail,الجبيل,SA-EA-30
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Jafar,الجفر,SA-EA-31
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Hofuf,الهفوف,SA-EA-32
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Haweyah,الحوية,SA-EA-33
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Harad,حرض,SA-EA-34
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Hafer Al Batin,حفر الباطن,SA-EA-35
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Dhahran,الظهران,SA-EA-36
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Dammam,الدمام,SA-EA-37
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Batha,البطحاء,SA-EA-38
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Awamiah,العوامية,SA-EA-39
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Anak,عنك,SA-EA-40
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Hassa,الحساء,SA-EA-41
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Ain Dar,عين دار,SA-EA-42
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Abqaiq,بقيق,SA-EA-43
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Al Shuaba,الشعبه,SA-EA-44
Saudi Arabia,المملكة العربية السعودية,Eastern Region {Ash-Sharqiyah},الشرقية,SA-EA,Almutayrifi,المطيرفي,SA-EA-45
